hour,speed_bin,n,cov_marg,cov_cc,w_marg,w_cc
11.000000,15,333,0.981982,0.957958,2.855856,2.276276
11.000000,20,321,0.965732,0.909657,3.068536,2.607477
11.000000,25,265,0.973585,0.909434,3.128302,2.694340
11.000000,30,5829,0.981644,0.893807,3.151484,2.733574
11.000000,35,6331,0.965724,0.906018,3.186069,2.970779
11.000000,40,5109,0.951850,0.872774,3.230573,2.972597
11.000000,45,6578,0.956370,0.892521,3.287017,3.037549
11.000000,50,1699,0.922896,0.828134,3.517363,3.201295
11.000000,55,2341,0.788552,0.851346,3.660402,3.877403
11.000000,60,2288,0.834790,0.883304,3.541521,3.757430
11.000000,65,2017,0.877541,0.916708,3.641547,3.840357
11.000000,70,1513,0.749504,0.900198,3.676140,4.244547
11.000000,75,1310,0.662595,0.867939,4.072519,4.616031
11.000000,80,61,0.688525,0.901639,4.262295,4.754098
12.000000,15,357,0.977591,0.952381,2.862745,2.358543
12.000000,20,430,0.979070,0.953488,2.932558,2.476744
12.000000,25,290,0.975862,0.886207,3.131034,2.700000
12.000000,30,7184,0.980234,0.893513,3.141008,2.732739
12.000000,35,7896,0.965299,0.913374,3.159574,2.961120
12.000000,40,6519,0.960730,0.894002,3.200337,2.974383
12.000000,45,8477,0.966616,0.916480,3.262947,3.040934
12.000000,50,2104,0.934886,0.863593,3.459601,3.174905
12.000000,55,2774,0.825162,0.876712,3.631218,3.822999
12.000000,60,2683,0.855013,0.890421,3.464778,3.642564
12.000000,65,2438,0.890894,0.932732,3.587777,3.772765
12.000000,70,1701,0.762493,0.902410,3.606702,4.189888
12.000000,75,1378,0.693033,0.883890,4.066038,4.611030
12.000000,80,81,0.617284,0.839506,4.209877,4.691358
13.000000,15,445,0.977528,0.948315,2.860674,2.337079
13.000000,20,413,0.975787,0.915254,2.997579,2.542373
13.000000,25,301,0.970100,0.870432,3.116279,2.674419
13.000000,30,6944,0.977823,0.886377,3.145161,2.738047
13.000000,35,7420,0.968059,0.917925,3.162938,2.968194
13.000000,40,6282,0.956861,0.900828,3.191022,2.979465
13.000000,45,8280,0.961957,0.907971,3.249155,3.023792
13.000000,50,2107,0.943522,0.869957,3.458472,3.165638
13.000000,55,2862,0.831586,0.879804,3.638015,3.822851
13.000000,60,2824,0.871459,0.908286,3.463881,3.652266
13.000000,65,2556,0.901017,0.933490,3.582551,3.765258
13.000000,70,1729,0.769231,0.909774,3.590515,4.179294
13.000000,75,1416,0.696328,0.896186,4.083333,4.651836
13.000000,80,66,0.696970,0.848485,4.060606,4.606061
14.000000,15,433,0.979215,0.953811,2.842956,2.260970
14.000000,20,530,0.973585,0.916981,2.958491,2.464151
14.000000,25,351,0.982906,0.877493,3.216524,2.709402
14.000000,30,7365,0.979226,0.891242,3.157366,2.751935
14.000000,35,8050,0.968199,0.920745,3.176894,2.992174
14.000000,40,6466,0.961182,0.897928,3.206155,2.979431
14.000000,45,8549,0.965961,0.914025,3.271962,3.042812
14.000000,50,2146,0.934296,0.859739,3.462255,3.174744
14.000000,55,2911,0.827551,0.881828,3.638269,3.827207
14.000000,60,3019,0.875787,0.906923,3.474329,3.650215
14.000000,65,2986,0.904555,0.934360,3.568319,3.763563
14.000000,70,2001,0.785107,0.912544,3.614693,4.177411
14.000000,75,1593,0.684244,0.895166,4.008788,4.598870
14.000000,80,72,0.611111,0.833333,4.277778,4.736111
15.000000,15,468,0.974359,0.950855,2.867521,2.324786
15.000000,20,795,0.981132,0.952201,3.030189,2.592453
15.000000,25,479,0.968685,0.891441,3.123173,2.739040
15.000000,30,9007,0.981681,0.905629,3.140002,2.764961
15.000000,35,9607,0.972312,0.927657,3.177058,2.990215
15.000000,40,7408,0.969897,0.919141,3.215713,3.007694
15.000000,45,10063,0.973765,0.934811,3.260757,3.053662
15.000000,50,2469,0.948562,0.893884,3.459295,3.200486
15.000000,55,3387,0.842338,0.893711,3.642752,3.836138
15.000000,60,3620,0.885912,0.918785,3.466298,3.646133
15.000000,65,3494,0.922725,0.945049,3.583286,3.745278
15.000000,70,2283,0.794131,0.915024,3.592641,4.163382
15.000000,75,1616,0.696782,0.891089,4.055074,4.616337
15.000000,80,83,0.614458,0.819277,4.012048,4.518072
16.000000,15,440,0.984091,0.956818,2.809091,2.275000
16.000000,20,604,0.971854,0.922185,2.973510,2.554636
16.000000,25,507,0.976331,0.909270,3.106509,2.779093
16.000000,30,9659,0.981572,0.908065,3.141215,2.780101
16.000000,35,10584,0.972978,0.929327,3.165911,2.991969
16.000000,40,8289,0.966462,0.914103,3.209072,3.002051
16.000000,45,11239,0.975354,0.937539,3.260788,3.056322
16.000000,50,2901,0.950017,0.887280,3.461565,3.191313
16.000000,55,3869,0.850090,0.903593,3.657793,3.838201
16.000000,60,4086,0.881791,0.913118,3.459373,3.634851
16.000000,65,4136,0.928917,0.947050,3.535542,3.711074
16.000000,70,2640,0.817424,0.920076,3.582955,4.142045
16.000000,75,1660,0.683735,0.887349,4.021687,4.598795
16.000000,80,101,0.722772,0.881188,4.227723,4.683168
17.000000,15,482,0.977178,0.946058,2.958506,2.390041
17.000000,20,458,0.962882,0.910480,3.034934,2.600437
17.000000,25,437,0.965675,0.871854,3.187643,2.805492
17.000000,30,9233,0.980288,0.907397,3.160403,2.800823
17.000000,35,10745,0.977571,0.936715,3.187994,3.014705
17.000000,40,8664,0.969183,0.919552,3.227839,3.025970
17.000000,45,12223,0.976520,0.937086,3.299681,3.088767
17.000000,50,2906,0.953889,0.896421,3.506538,3.236407
17.000000,55,4234,0.858999,0.905291,3.666982,3.846481
17.000000,60,4399,0.888156,0.919982,3.484201,3.656286
17.000000,65,4612,0.921075,0.946661,3.565481,3.749133
17.000000,70,2857,0.814141,0.937697,3.622331,4.177809
17.000000,75,1768,0.700792,0.897059,4.000000,4.571833
17.000000,80,93,0.666667,0.838710,4.161290,4.634409
18.000000,15,383,0.979112,0.947781,2.992167,2.402089
18.000000,20,439,0.974943,0.902050,3.118451,2.637813
18.000000,25,386,0.976684,0.888601,3.243523,2.826425
18.000000,30,7584,0.978112,0.892932,3.217959,2.838344
18.000000,35,8803,0.968874,0.928206,3.228331,3.042713
18.000000,40,6981,0.967770,0.915055,3.267870,3.051425
18.000000,45,9671,0.970737,0.927308,3.333161,3.102368
18.000000,50,2456,0.938111,0.873371,3.550489,3.278094
18.000000,55,3476,0.847814,0.899597,3.702819,3.896433
18.000000,60,3709,0.871394,0.910218,3.526557,3.709895
18.000000,65,3818,0.907805,0.935568,3.631221,3.808015
18.000000,70,2531,0.806796,0.933623,3.666140,4.195180
18.000000,75,1533,0.667319,0.887149,3.983692,4.594912
18.000000,80,88,0.704545,0.863636,4.022727,4.579545
19.000000,15,330,0.984848,0.927273,3.006061,2.366667
19.000000,20,348,0.982759,0.928161,3.186782,2.727011
19.000000,25,290,0.944828,0.882759,3.262069,2.813793
19.000000,30,5701,0.971233,0.878618,3.292405,2.881249
19.000000,35,6412,0.963350,0.908297,3.308016,3.070805
19.000000,40,4896,0.957516,0.897467,3.359273,3.091095
19.000000,45,6779,0.956778,0.901608,3.432955,3.150170
19.000000,50,1595,0.927900,0.849530,3.613166,3.300313
19.000000,55,2346,0.800938,0.868713,3.700767,3.900256
19.000000,60,2445,0.842945,0.890389,3.603681,3.797137
19.000000,65,2336,0.892551,0.919949,3.694777,3.867723
19.000000,70,1716,0.788462,0.926573,3.756993,4.280303
19.000000,75,1325,0.675472,0.901887,4.040000,4.640755
19.000000,80,66,0.560606,0.893939,4.227273,4.772727
20.000000,15,243,0.958848,0.925926,3.049383,2.444444
20.000000,20,273,0.956044,0.879121,3.271062,2.820513
20.000000,25,268,0.962687,0.843284,3.421642,2.988806
20.000000,30,4494,0.962617,0.865599,3.372497,2.939475
20.000000,35,4883,0.958018,0.887774,3.370879,3.097071
20.000000,40,3770,0.938462,0.869761,3.419894,3.113263
20.000000,45,5380,0.953717,0.886617,3.511524,3.192565
20.000000,50,1256,0.912420,0.810510,3.681529,3.343949
20.000000,55,1959,0.765697,0.834609,3.702910,3.913221
20.000000,60,2005,0.818454,0.867332,3.655860,3.849875
20.000000,65,1825,0.859178,0.900822,3.785753,3.987945
20.000000,70,1430,0.723077,0.894406,3.777622,4.294406
20.000000,75,1196,0.653010,0.894649,4.087793,4.638796
20.000000,80,71,0.577465,0.845070,4.000000,4.647887
21.000000,15,195,0.969231,0.928205,3.148718,2.666667
21.000000,20,229,0.965066,0.877729,3.292576,2.812227
21.000000,25,268,0.936567,0.802239,3.529851,2.973881
21.000000,30,3961,0.948750,0.816965,3.494320,2.983842
21.000000,35,4236,0.934608,0.852691,3.519358,3.172805
21.000000,40,3165,0.901738,0.780411,3.586730,3.180411
21.000000,45,4576,0.919143,0.818400,3.678759,3.306600
21.000000,50,1154,0.867418,0.723570,3.784229,3.412478
21.000000,55,1739,0.714779,0.793560,3.757332,3.968373
21.000000,60,1813,0.779371,0.844457,3.766133,3.984004
21.000000,65,1780,0.820225,0.875843,3.881461,4.060112
21.000000,70,1384,0.677746,0.880058,3.822977,4.375723
21.000000,75,1232,0.560877,0.855519,4.042208,4.657468
21.000000,80,48,0.375000,0.708333,3.833333,4.479167
22.000000,15,157,0.955414,0.955414,3.248408,3.242038
22.000000,20,218,0.944954,0.944954,3.376147,3.366972
22.000000,25,217,0.967742,0.967742,3.635945,3.617512
22.000000,30,3259,0.926971,0.924210,3.621663,3.603559
22.000000,35,3459,0.902284,0.950853,3.635444,3.886962
22.000000,40,2560,0.909766,0.956641,3.741016,3.966406
22.000000,45,3551,0.904816,0.961138,3.784005,4.003098
22.000000,50,932,0.837983,0.915236,3.866953,4.114807
22.000000,55,1408,0.625000,0.888494,3.817472,4.509233
22.000000,60,1632,0.727941,0.911152,3.832721,4.466299
22.000000,65,1585,0.784858,0.942587,3.909148,4.516719
22.000000,70,1255,0.641434,0.925100,3.823904,4.639841
22.000000,75,933,0.511254,0.909968,3.964630,4.755627
22.000000,80,50,0.340000,0.900000,3.820000,4.740000
23.000000,15,131,0.900763,0.900763,3.396947,3.381679
23.000000,20,156,0.916667,0.916667,3.480769,3.467949
23.000000,25,165,0.872727,0.854545,3.630303,3.593939
23.000000,30,2693,0.900111,0.895284,3.685852,3.662087
23.000000,35,2589,0.900734,0.950946,3.675937,3.915411
23.000000,40,1791,0.879397,0.938582,3.723618,3.975433
23.000000,45,2601,0.862361,0.938870,3.773549,4.002691
23.000000,50,646,0.797214,0.874613,3.851393,4.069659
23.000000,55,1083,0.553093,0.855032,3.725762,4.444137
23.000000,60,1334,0.697151,0.916792,3.827586,4.488006
23.000000,65,1323,0.748299,0.938020,3.888133,4.550265
23.000000,70,1064,0.599624,0.898496,3.722744,4.618421
23.000000,75,792,0.441919,0.898990,3.861111,4.693182
23.000000,80,44,0.318182,0.840909,3.704545,4.681818
