month,speed_band,n,cov,se,deviation,beyond_2se
2024-10,65–69,3924,0.859072375127421,0.005554544415586017,-0.04092762487257906,True
2024-10,≥70,4201,0.6662699357295881,0.007275225075434672,-0.23373006427041187,True
2024-11,<35,10611,0.9677692960135709,0.0017145204050397708,0.06776929601357085,True
2024-11,35–44,13523,0.947718701471567,0.001914151835686992,0.04771870147156698,True
2024-11,45–54,11168,0.9370522922636103,0.0022981806882672227,0.03705229226361029,True
2024-11,55–64,7127,0.797811140732426,0.00475746147223874,-0.10218885926757404,True
2024-11,65–69,3873,0.8484379034340305,0.0057621105292441,-0.05156209656596955,True
2024-11,≥70,4589,0.6522118108520375,0.007030605270379586,-0.24778818914796252,True
2024-12,<35,10864,0.9691642120765832,0.0016585605491594726,0.06916421207658319,True
2024-12,35–44,13752,0.9506980802792321,0.0018461640582896031,0.05069808027923206,True
2024-12,45–54,11313,0.9368867674356934,0.002286203426253498,0.03688676743569341,True
2024-12,55–64,7188,0.7902058987200891,0.004802448717295927,-0.10979410127991096,True
2024-12,65–69,3708,0.8441208198489751,0.0059569849074250164,-0.05587918015102489,True
2024-12,≥70,4445,0.6769403824521935,0.007014240713817652,-0.22305961754780657,True
2025-01,<35,9249,0.9670234619958914,0.0018568364199550908,0.06702346199589138,True
2025-01,35–44,11584,0.9466505524861878,0.0020880001957173135,0.04665055248618777,True
2025-01,45–54,9270,0.9323624595469255,0.0026082332419670525,0.032362459546925515,True
2025-01,55–64,6135,0.7973920130399348,0.0051316489353272245,-0.10260798696006523,True
2025-01,65–69,3339,0.8571428571428571,0.006055770048561392,-0.04285714285714293,True
2025-01,≥70,3773,0.6615425390935595,0.007703490145357141,-0.2384574609064405,True
2025-02,<35,9376,0.9671501706484642,0.00184079199036238,0.06715017064846418,True
2025-02,35–44,11191,0.9467429184165848,0.0021226102973803188,0.04674291841658473,True
2025-02,45–54,9346,0.9391183393965333,0.002473378135549775,0.03911833939653331,True
2025-02,55–64,5929,0.799966267498735,0.005195133729268366,-0.10003373250126502,True
2025-02,65–69,3006,0.8589487691284099,0.006348594417526082,-0.04105123087159013,True
2025-02,≥70,3217,0.6907056263599627,0.008149049883967698,-0.20929437364003733,True
2025-03,<35,11263,0.9630649027790109,0.0017771347503787508,0.06306490277901089,True
2025-03,35–44,13496,0.9479845880260818,0.001911455205491592,0.04798458802608174,True
2025-03,45–54,10880,0.9384191176470589,0.0023046603456839863,0.038419117647058854,True
2025-03,55–64,7104,0.8023648648648649,0.0047246163939217885,-0.09763513513513511,True
2025-03,65–69,3884,0.8550463439752832,0.005648976959360008,-0.04495365602471679,True
2025-03,≥70,4179,0.68030629337162,0.007214115682486888,-0.21969370662838006,True
2025-04,<35,10919,0.9678541991024819,0.001688012512551105,0.06785419910248192,True
2025-04,35–44,13123,0.9520688866874952,0.0018647747512922628,0.05206888668749521,True
2025-04,45–54,10601,0.9377417224790114,0.0023467496021175693,0.03774172247901142,True
2025-04,55–64,6887,0.8042689124437346,0.004780964337572552,-0.09573108755626547,True
2025-04,65–69,3551,0.8659532526049001,0.005717419097311177,-0.03404674739509994,True
2025-04,≥70,4097,0.6905052477422504,0.007222327113135657,-0.2094947522577496,True
2025-05,<35,11409,0.9667806117977036,0.001677783777971335,0.06678061179770356,True
2025-05,35–44,13862,0.9528206607993075,0.0018008127734500366,0.05282066079930747,True
2025-05,45–54,10945,0.9443581544084056,0.0021910952016744663,0.044358154408405626,True
2025-05,55–64,7129,0.7967456866320662,0.0047661251122261316,-0.10325431336793378,True
2025-05,65–69,3862,0.8736406007250129,0.005346431981000062,-0.026359399274987094,True
2025-05,≥70,4066,0.6812592228234137,0.007307878594890695,-0.21874077717658635,True
2025-06,<35,9779,0.963799979548011,0.0018888637904798879,0.06379997954801098,True
2025-06,35–44,11673,0.9518547074445302,0.001981394728859264,0.051854707444530135,True
2025-06,45–54,9546,0.9341085271317829,0.0025392330434874004,0.03410852713178292,True
2025-06,55–64,6224,0.8113753213367609,0.004958785944507926,-0.08862467866323909,True
2025-06,65–69,3477,0.8636755823986195,0.005819153333455824,-0.0363244176013805,True
2025-06,≥70,3985,0.6808030112923463,0.007384582792088152,-0.2191969887076537,True
2025-07,<35,9748,0.960299548625359,0.0019776221804588645,0.06029954862535902,True
2025-07,35–44,11843,0.9479861521573926,0.00204046722581816,0.04798615215739255,True
2025-07,45–54,9776,0.9379091653027823,0.002440695174771288,0.03790916530278232,True
2025-07,55–64,6328,0.8064159292035398,0.004966850896410111,-0.09358407079646025,True
2025-07,65–69,3575,0.862097902097902,0.005766678075541979,-0.037902097902097975,True
2025-07,≥70,4092,0.7038123167155426,0.007137467048182524,-0.19618768328445746,True
2025-08,<35,11172,0.966344432509846,0.0017061961980036585,0.06634443250984601,True
2025-08,35–44,12986,0.9502541198213461,0.0019079225500790989,0.05025411982134609,True
2025-08,45–54,10660,0.9371482176360225,0.002350630345735692,0.037148217636022496,True
2025-08,55–64,6743,0.8057244549903604,0.0048180994592942,-0.09427554500963964,True
2025-08,65–69,3725,0.87248322147651,0.005465112038087966,-0.027516778523489993,True
2025-08,≥70,4135,0.6933494558645708,0.007170677694710637,-0.20665054413542927,True
2025-09,<35,11136,0.9669540229885057,0.001693938346158558,0.06695402298850572,True
2025-09,35–44,13048,0.950567136725935,0.0018976989055181945,0.050567136725934936,True
2025-09,45–54,10660,0.9401500938086303,0.0022974799580458404,0.04015009380863033,True
2025-09,55–64,6822,0.8100263852242744,0.004749417722103218,-0.08997361477572563,True
2025-09,65–69,3677,0.8577644819146043,0.005760248826524743,-0.04223551808539572,True
2025-09,≥70,3907,0.6908113642180701,0.007393835645343729,-0.20918863578192992,True
2025-10,<35,12121,0.9656793993894893,0.0016535780452722295,0.0656793993894893,True
2025-10,35–44,14574,0.9522437216961712,0.0017664441613170763,0.0522437216961712,True
