hour,speed_bin,n,cov_marginal,cov_mondrian,cov_declared
23.000000,30,2693,0.900111,0.873375,0.895284
23.000000,35,2589,0.900734,0.856701,0.950946
23.000000,40,1791,0.879397,0.831379,0.938582
23.000000,45,2601,0.862361,0.858900,0.938870
23.000000,50,646,0.797214,0.823529,0.874613
23.000000,55,1083,0.553093,0.660203,0.855032
23.000000,60,1334,0.697151,0.724888,0.916792
23.000000,65,1323,0.748299,0.786848,0.938020
23.000000,70,1064,0.599624,0.625000,0.898496
23.000000,75,792,0.441919,0.558081,0.898990
23.000000,80,44,0.318182,0.431818,0.840909
